k,tp,fp,fn,precision,recall,f1,k_full_population_equivalent,model,features,pr_auc
100,97,3,1381,0.97,0.06562922868741543,0.12294043092522179,100,RuleEnsemble,vote_count,0.5559924851980153
250,240,10,1238,0.96,0.16238159675236807,0.2777777777777778,250,RuleEnsemble,vote_count,0.5559924851980153
500,437,63,1041,0.874,0.2956698240866035,0.44186046511627913,500,RuleEnsemble,vote_count,0.5559924851980153
1000,774,226,704,0.774,0.523680649526387,0.6246973365617433,1000,RuleEnsemble,vote_count,0.5559924851980153
1500,923,577,555,0.6153333333333333,0.6244925575101489,0.6198791134989925,1500,RuleEnsemble,vote_count,0.5559924851980153
2000,925,1075,553,0.4625,0.6258457374830853,0.5319148936170214,2000,RuleEnsemble,vote_count,0.5559924851980153
100,100,0,1378,1.0,0.06765899864682003,0.12674271229404308,100,IsolationForest,behavioral,0.7486018532205823
250,250,0,1228,1.0,0.16914749661705006,0.2893518518518518,250,IsolationForest,behavioral,0.7486018532205823
500,496,4,982,0.992,0.33558863328822736,0.5015166835187058,500,IsolationForest,behavioral,0.7486018532205823
1000,897,103,581,0.897,0.6069012178619756,0.7239709443099274,1000,IsolationForest,behavioral,0.7486018532205823
1500,1032,468,446,0.688,0.6982408660351827,0.6930826057756884,1500,IsolationForest,behavioral,0.7486018532205823
2000,1086,914,392,0.543,0.7347767253044655,0.6244968372627947,2000,IsolationForest,behavioral,0.7486018532205823
100,100,0,1378,1.0,0.06765899864682003,0.12674271229404308,100,IsolationForest,behavioral+rules,0.8492766212395134
250,250,0,1228,1.0,0.16914749661705006,0.2893518518518518,250,IsolationForest,behavioral+rules,0.8492766212395134
500,499,1,979,0.998,0.3376184032476319,0.5045500505561172,500,IsolationForest,behavioral+rules,0.8492766212395134
1000,933,67,545,0.933,0.6312584573748309,0.7530266343825666,1000,IsolationForest,behavioral+rules,0.8492766212395134
1500,1176,324,302,0.784,0.7956698240866035,0.7897918065815984,1500,IsolationForest,behavioral+rules,0.8492766212395134
2000,1289,711,189,0.6445,0.8721244925575101,0.741230592294422,2000,IsolationForest,behavioral+rules,0.8492766212395134
30,30,0,413,1.0,0.06772009029345373,0.12684989429175475,100,XGBoost,behavioral,0.8913923763285908
75,75,0,368,1.0,0.16930022573363432,0.2895752895752896,250,XGBoost,behavioral,0.8913923763285908
150,150,0,293,1.0,0.33860045146726864,0.5059021922428331,500,XGBoost,behavioral,0.8913923763285908
300,300,0,143,1.0,0.6772009029345373,0.8075370121130552,1000,XGBoost,behavioral,0.8913923763285908
450,372,78,71,0.8266666666666667,0.8397291196388262,0.8331466965285554,1500,XGBoost,behavioral,0.8913923763285908
600,390,210,53,0.65,0.8803611738148984,0.74784276126558,2000,XGBoost,behavioral,0.8913923763285908
30,30,0,413,1.0,0.06772009029345373,0.12684989429175475,100,XGBoost,behavioral+rules,0.9236308197706169
75,75,0,368,1.0,0.16930022573363432,0.2895752895752896,250,XGBoost,behavioral+rules,0.9236308197706169
150,150,0,293,1.0,0.33860045146726864,0.5059021922428331,500,XGBoost,behavioral+rules,0.9236308197706169
300,300,0,143,1.0,0.6772009029345373,0.8075370121130552,1000,XGBoost,behavioral+rules,0.9236308197706169
450,405,45,38,0.9,0.9142212189616253,0.9070548712206048,1500,XGBoost,behavioral+rules,0.9236308197706169
600,405,195,38,0.675,0.9142212189616253,0.7766059443911794,2000,XGBoost,behavioral+rules,0.9236308197706169
