rule_id,entity_type,target_typologies,n_flagged,vs,tp,fp,fn,precision,recall,f1
R1,beneficiary,"ghost,duplicate",1525,target_typology,376,1149,324,0.24655737704918032,0.5371428571428571,0.3379775280898876
R1,beneficiary,"ghost,duplicate",1525,all_fraud,376,1149,1102,0.24655737704918032,0.2543978349120433,0.25041625041625043
R2,beneficiary,duplicate,1340,target_typology,361,979,139,0.26940298507462684,0.722,0.39239130434782604
R2,beneficiary,duplicate,1340,all_fraud,778,562,700,0.5805970149253732,0.5263870094722598,0.5521646557842442
R3,vendor,vendor_collusion,1,target_typology,1,0,1,1.0,0.5,0.6666666666666666
R3,vendor,vendor_collusion,1,all_fraud,1,0,1,1.0,0.5,0.6666666666666666
R4,vendor,vendor_collusion,1,target_typology,0,1,2,0.0,0.0,
R4,vendor,vendor_collusion,1,all_fraud,0,1,2,0.0,0.0,
R5,registrar,"ghost,registrar_diversion",2,target_typology,1,1,0,0.5,1.0,0.6666666666666666
R5,registrar,"ghost,registrar_diversion",2,all_fraud,1,1,0,0.5,1.0,0.6666666666666666
R5,beneficiary,"ghost,registrar_diversion",275,target_typology,65,210,228,0.23636363636363636,0.22184300341296928,0.22887323943661972
R5,beneficiary,"ghost,registrar_diversion",275,all_fraud,69,206,1409,0.2509090909090909,0.04668470906630582,0.07872219053051911
R6_naive,beneficiary,cashout_ring,20559,target_typology,300,20259,0,0.014592149423610097,1.0,0.028764562059542642
R6_naive,beneficiary,cashout_ring,20559,all_fraud,1094,19465,384,0.05321270489809816,0.7401894451962111,0.099287561827835
R6,beneficiary,cashout_ring,6610,target_typology,300,6310,0,0.0453857791225416,1.0,0.08683068017366136
R6,beneficiary,cashout_ring,6610,all_fraud,576,6034,902,0.08714069591527988,0.38971583220568334,0.14243323442136496
R7,vendor,vendor_collusion,3,target_typology,2,1,0,0.6666666666666666,1.0,0.8
R7,vendor,vendor_collusion,3,all_fraud,2,1,0,0.6666666666666666,1.0,0.8
R8,registrar,registrar_diversion,1,target_typology,1,0,0,1.0,1.0,1.0
R8,registrar,registrar_diversion,1,all_fraud,1,0,0,1.0,1.0,1.0
R9,beneficiary,family_gaming,608,target_typology,478,130,0,0.7861842105263158,1.0,0.8802946593001841
R9,beneficiary,family_gaming,608,all_fraud,608,0,870,1.0,0.41136671177266576,0.582933844678811
R10,beneficiary,family_gaming,287,target_typology,235,52,243,0.818815331010453,0.4916317991631799,0.6143790849673203
R10,beneficiary,family_gaming,287,all_fraud,281,6,1197,0.9790940766550522,0.19012178619756429,0.31841359773371103
